"mybibtex_key","Author(s)","Title","Outlet","DOI","Cluster","Year of publication","closeness_centrality"
"cavallisforza_genetic_1997","cavallisforza ll","genetic and cultural diversity in europe","journal of anthropological research","10.1086/jar.53.4.3631240",2,1997,0.516129229643539
"barbujani_genetic-variation_1994","barbujani g;pilastro a;dedomenico s;renfrew c","genetic-variation in north-africa and eurasia - neolithic demic diffusion vs paleolithic colonization","american journal of physical anthropology","10.1002/ajpa.1330950203",2,1994,0.12084540001336
"kirch_evolution_1990","kirch pv","the evolution of sociopolitical complexity in prehistoric hawaii, an assessment of the archaeological evidence","journal of world prehistory","10.1007/bf00974883",2,1990,0.123831835058959
"pang_historical_2021","pang m","an historical overview of the field of study of human remains in south korean archaeology","international journal of osteoarchaeology","10.1002/oa.3070",3,2021,0.233347305662637
"biagetti_quantitative_2021","biagetti s;zurro d;alcaina-mateos e;madella m","quantitative analysis of drought management strategies across ethnographically-researched african societies: a pilot study","land","10.3390/land10101062",3,2021,0.153547722691729
"laskar_impact_2021","laskar ah;bohra a","impact of indian summer monsoon change on ancient indian civilizations during the holocene","frontiers in earth science","10.3389/feart.2021.709455",3,2021,0.291406338591525
"yang_long-term_2021","yang b;qin c;braeuning a;osborn v;ljungqvist fc;esper l;griessinger j;buentgen u;rossi s;dong g;yan m;ning l;wang j;wang x;wang s;luterbacher j;cook er;stenseth nc","long-term decrease in asian monsoon rainfall and abrupt climate change events over the past 6,700 years","proceedings of the national academy of sciences of the united states of america","10.1073/pnas.2102007118",3,2021,0.317349056232857
"li_spatial_2021","li k;gao w;wu l;hu h;gong p;li s;jin r;si y","spatial expansion of human settlement during the longshan period (similar to 4.5-similar to 3.9 ka bp) and its hydroclimatic contexts in the lower yellow river floodplain, eastern china","land","10.3390/land10070712",3,2021,0.327502594335252
"wang_spatiotemporal_2021","wang l;cui y","the spatiotemporal pattern of cultural evolution response to agricultural development and climate change from yangshao culture to bronze age in the yellow river basin and surrounding regions, north china","frontiers in earth science","10.3389/feart.2021.657179",3,2021,0.403257000520158
"li_human_2021","li k;gao w","human settlement distribution patterns during the longshan and xinzhai-erlitou periods and their hydrogeomorphic contexts in the central plains, china","catena","10.1016/j.catena.2021.105433",3,2021,0.299173241181131
"li_mapping_2021","li y;lu p;mao l;chen p;yan l;guo l","mapping spatiotemporal variations of neolithic and bronze age settlements in the gansu-qinghai region, china: scale grade, chronological development, and social organization","journal of archaeological science","10.1016/j.jas.2021.105357",3,2021,0.428652823798296
"yang_liu_climate_2020","yang liu yl;shi zhilin sz;zhang shanjia zs;lee hf","climate change, geopolitics, and human settlements in the hexi corridor over the last 5,000 years","acta geologica sinica-english edition","10.1111/1755-6724.14529",3,2020,0.282003025543236
"he_cultural_2020","he ky;lu hy;li yn;ding j;wang c","cultural response to middle holocene sea-level fluctuations in eastern china: a multi-proxy approach","boreas","10.1111/bor.12421",3,2020,0.238799487040619
"xiao_42_2019","xiao j;zhang s;fan j;wen r;xu q;inouchi y;nakamura t","the 4.2 ka event and its resulting cultural interruption in the daihai lake basin at the east asian summer monsoon margin","quaternary international","10.1016/j.quaint.2018.06.025",3,2019,0.443246171774529
"yang_economic_2019","yang y;ren l;dong g;cui y;liu r;chen g;wang h;wilkin s;chen f","economic change in the prehistoric hexi corridor (4800-2200 bp), north-west china","archaeometry","10.1111/arcm.12464",3,2019,0.366480278005665
"yuan_yuying_cultural_2019","yuan yuying yy","cultural evolution and spatial-temporal distribution of archaeological sites from 9.5-2.3 ka bp in the yan-liao region, china","journal of geographical sciences","10.1007/s11442-019-1609-y",3,2019,0.30447975159116
"shi_environmental_2019","shi z;chen t;storozum mj;liu f","environmental and social factors influencing the spatiotemporal variation of archaeological sites during the historical period in the heihe river basin, northwest china","quaternary international","10.1016/j.quaint.2018.12.016",3,2019,0.349256713546308
"peng_in-site_2019","peng w;huang x;zhang d;storozum mj;chen f","in-site pollen record from the dadiwan archaeological site and the human-environment relationship during marine oxygen isotope stage 3","quaternary research","10.1017/qua.2018.72",3,2019,0.311525920176256
"cui_yifu_spatiotemporal_2018","cui yifu cyf;liu yujia lyj;ma minmin mmm","spatiotemporal evolution of prehistoric neolithic-bronze age settlements and influencing factors in the guanting basin, northeast tibetan plateau","science china-earth sciences","10.1007/s11430-017-9138-8",3,2018,0.302920741128368
"peregrine_social_2018","peregrine pn","social resilience to climate-related disasters in ancient societies: a test of two hypotheses","weather climate and society","10.1175/wcas-d-17-0052.1",3,2018,0.45785229493601
"psomiadis_speleothem_2018","psomiadis d;dotsika e;albanakis k;ghaleb c","speleothem record of climatic changes in the northern aegean region (greece) from the bronze age to the collapse of the roman empire","palaeogeography palaeoclimatology palaeoecology","10.1016/j.palaeo.2017.10.021",3,2018,0.322864318588978
"li_human_2017","li h;liu f;cui y;ren l;storozum mj;qin z;wang j;dong g","human settlement and its influencing factors during the historical period in an oasis-desert transition zone of dunhuang, hexi corridor, northwest china","quaternary international","10.1016/j.quaint.2016.11.044",3,2017,0.375673625694722
"allcock_long-term_2017","allcock sl","long-term socio-environmental dynamics and adaptive cycles in cappadocia, turkey during the holocene","quaternary international","10.1016/j.quaint.2017.06.065",3,2017,0.179813444440213
"bai_yijun_5400_2017","bai yijun by;zhang pingzhong zpz;gao tao gt;yu renzhe yrz;zhou;pengchao zpc;cheng hai ch","the 5400 a bp extreme weakening event of the asian summer monsoon and cultural evolution","science china-earth sciences","10.1007/s11430-016-9017-3",3,2017,0.381346709552918
"chen_early_2017","chen s;yu pl","early ``neolithics'' of china: variation and evolutionary implications","journal of anthropological research","NA",3,2017,0.444913357224085
"yang_copper_2017","yang y;dong g;zhang s;cui y;li h;chen g;dodson j;chen f","copper content in anthropogenic sediments as a tracer for detecting smelting activities and its impact on environment during prehistoric period in hexi corridor, northwest china","holocene","10.1177/0959683616658531",3,2017,0.325973961112539
"homsher_amorite_2017","homsher rs;cradic ms","the amorite problem: resolving an historical dilemma","levant","10.1080/00758914.2017.1418038",3,2017,0.230904825834737
"hosner_spatiotemporal_2016","hosner d;wagner m;tarasov pe;chen x;leipe c","spatiotemporal distribution patterns of archaeological sites in china during the neolithic and bronze age: an overview","holocene","10.1177/0959683616641743",3,2016,0.414578322166872
"rohling_of_2016","rohling ej","of lakes and fields: a framework for reconciling palaeoclimatic drought inferences with archaeological impacts","journal of archaeological science","10.1016/j.jas.2016.07.005",3,2016,0.191884905293468
"zhang_dongju_history_2016","zhang dongju zdj;dong guanghui dgh;wang hui wh;ren xiaoyan rxy;ha;pipu'u hpp;qiang mingrui qmr;chen fahu cfh","history and possible mechanisms of prehistoric human migration to the tibetan plateau","science china-earth sciences","10.1007/s11430-015-5482-x",3,2016,0.329483544737838
"guo_palaeo-earthquake_2016","guo y;huang cc;pang j;zha x;zhou y;zhou q;hu g","palaeo-earthquake and palaeo-mudflow events at the machangyuan ruins in the huangshui river valley, northeastern margin of the tibetan plateau","holocene","10.1177/0959683616638437",3,2016,0.394912420577162
"montes_landscape_2016","montes l;domingo r;gonzalez-samperiz m;aranbarri j;castanos lm;alcolea m;laborda r","landscape, resources and people during the mesolithic and neolithic times in ne iberia: the arba de biel basin","quaternary international","10.1016/j.quaint.2015.05.041",3,2016,0.111373660435679
"pustovoytov_early_2016","pustovoytov k;riehl s","the early bronze age/middle bronze age transition and the aquifer geography in the near east","journal of archaeological science","10.1016/j.jas.2016.02.005",3,2016,0.188189543338316
"clarke_climatic_2016","clarke j;brooks n;banning eb;bar-matthews m;campbell s;clare l;cremaschi m;di;lernia s;drake n;gallinaro m;manning s;nicoll k;philip g;rosen s;schoop ud;tafuri ma;weninger b;zerboni a","climatic changes and social transformations in the near east and north africa during the `long' 4th millennium bc: a comparative study of environmental and archaeological evidence","quaternary science reviews","10.1016/j.quascirev.2015.10.003",3,2016,0.318386763410807
"barton_cultural_2016","barton l","the cultural context of biological adaptation to high elevation tibet","archaeological research in asia","10.1016/j.ara.2016.01.001",3,2016,0.455841694424005
"gallagher_transition_2015","gallagher em;shennan sj;thomas mg","transition to farming more likely for small, conservative groups with property rights, but increased productivity is not essential","proceedings of the national academy of sciences of the united states of america","10.1073/pnas.1511870112",3,2015,0.486188132228829
"sharifi_abrupt_2015","sharifi a;pourmand a;canuel e;peterson lc;aichner sj;daryaee t;djamali m;beni an;lahijani hak;swart pk","abrupt climate variability since the last deglaciation based on a high-resolution, multi-proxy peat record from nw iran: the hand that rocked the cradle of civilization?","quaternary science reviews","10.1016/j.quascirev.2015.07.006",3,2015,0.283573156537873
"zhuang_neolithisation_2015","zhuang y","neolithisation in north china: landscape and geoarchaeological perspectives","environmental archaeology","10.1179/1749631414y.0000000047",3,2015,0.452017557741041
"li_population_2015","li h;an c;fan w;dong w;zhao y;wang h","population history and its relationship with climate change on the chinese loess plateau during the past 10,000years","holocene","10.1177/0959683615580200",3,2015,0.626882132980123
"schug_birth_2014","schug gr;goldman hm","birth is but our death begun: a bioarchaeological assessment of skeletal emaciation in immature human skeletons in the context of environmental, social, and subsistence transition","american journal of physical anthropology","10.1002/ajpa.22536",3,2014,0.181713029885821
"power_economic_2014","power rc;rosen am;nadel d","the economic and ritual utilization of plants at the raqefet cave natufian site: the evidence from phytoliths","journal of anthropological archaeology","10.1016/j.jaa.2013.11.002",3,2014,0.390429445973874
"ma_process_2014","ma m;dong g;chen f;meng x;wang z;elston r;li g","process of paleofloods in guanting basin, qinghai province, china and possible relation to monsoon strength during the mid-holocene","quaternary international","10.1016/j.quaint.2012.05.031",3,2014,0.276244552905303
"dong_spatiotemporal_2013","dong g;wang l;cui y;elston r;chen f","the spatiotemporal pattern of the majiayao cultural evolution and its relation to climate change and variety of subsistence strategy during late neolithic period in gansu and qinghai provinces, northwest china","quaternary international","10.1016/j.quaint.2013.07.038",3,2013,0.449891580796125
"zong_multidisciplinary_2012","zong y;chen z;yu z","multidisciplinary studies in environmental archaeology with particular reference to china: an introduction to the special issue","holocene","10.1177/0959683611429834",3,2012,0.264306476707051
"dong_mid-holocene_2012","dong g;jia x;an c;chen f;zhao y;tao s;ma m","mid-holocene climate change and its effect on prehistoric cultural evolution in eastern qinghai province, china","quaternary research","10.1016/j.yqres.2011.10.004",3,2012,0.439526644769014
"schmidt_holocene_2011","schmidt a;quigley m;fattahi m;azizi g;maghsoudi m;fazeli h","holocene settlement shifts and palaeoenvironments on the central iranian plateau: investigating linked systems","holocene","10.1177/0959683610385961",3,2011,0.273378964067445
"maher_oasis_2011","maher la;banning eb;chazan m","oasis or mirage? assessing the role of abrupt climate change in the prehistory of the southern levant","cambridge archaeological journal","10.1017/s0959774311000011",3,2011,0.339113663208439
"zeder_neolithic_2009","zeder ma","the neolithic macro-(r)evolution: macroevolutionary theory and the study of culture change","journal of archaeological research","10.1007/s10814-008-9025-3",3,2009,0.631884171102826
"kaniewski_middle_2008","kaniewski d;paulissen e;van campo e;al-maqdissi m;bretschneider j;van lerberghe k","middle east coastal ecosystem response to middle-to-late holocene abrupt climate changes","proceedings of the national academy of sciences of the united states of america","10.1073/pnas.0803533105",3,2008,0.285436328015178
"migowski_holocene_2006","migowski c;stein m;prasad s;negendank jfw;agnon a","holocene climate variability and cultural evolution in the near east from the dead sea sedimentary record","quaternary research","10.1016/j.yqres.2006.06.010",3,2006,0.32490956369565
"staubwasser_holocene_2006","staubwasser m;weiss h","holocene climate and cultural evolution in late prehistoric-early historic west asia - introduction","quaternary research","10.1016/j.yqres.2006.09.001",3,2006,0.303839000132356
"macleod_fords_2021","macleod n;nash b","ford's gamma-gamma village simulation revisited: highlighting the need for a new middle-range theory of archaeological types","archaeometry","10.1111/arcm.12661",4,2021,0.499790352762155
"lyman_importance_2021","lyman rl","on the importance of systematics to archaeological research: the covariation of typological diversity and morphological disparity","journal of paleolithic archaeology","10.1007/s41982-021-00077-6",4,2021,0.746758360630833
"prentiss_theoretical_2021","prentiss am","theoretical plurality, the extended evolutionary synthesis, and archaeology","proceedings of the national academy of sciences of the united states of america","10.1073/pnas.2006564118",4,2021,0.898743258297701
"hagen_adoption_2020","hagen r;scelza ba","adoption of outgroup norms provides evidence for social transmission in perinatal care practices among rural namibian women","evolution medicine and public health","10.1093/emph/eoaa029",4,2020,0.781202331819733
"maiorano_quantitative_2020","maiorano mp;crassard r;charpentier e","a quantitative approach to the study of neolithic projectile points from south-eastern arabia","arabian archaeology and epigraphy","10.1111/aae.12147",4,2020,0.802730912966165
"spagnolo_climbing_2020","spagnolo v;marciani g;aureli d;martini i;boscato p;boschin f;ronchitelli a","climbing the time to see neanderthal behaviour's continuity and discontinuity: su 11 of the oscurusciuto rockshelter (ginosa, southern italy)","archaeological and anthropological sciences","10.1007/s12520-019-00971-9",4,2020,0.44688891620775
"lyman_misunderstanding_2019","lyman rl","misunderstanding graphs: the confusion of biological glade diversity diagrams and archaeological frequency seriation diagrams","studies in history and philosophy of science part c-studies in history and philosophy of biological and biomedical sciences","10.1016/j.shpsc.2019.101178",4,2019,0.703477921374446
"schmid_evaluating_2020","schmid c","evaluating cultural transmission in bronze age burial rites of central, northern and northwestern europe using radiocarbon data","adaptive behavior","10.1177/1059712319860842",4,2020,0.860219676831674
"amati_applying_2019","amati v;munson j;scholnick j;habiba h","applying event history analysis to explain the diffusion of innovations in archaeological networks","journal of archaeological science","10.1016/j.jas.2019.01.006",4,2019,0.86921743315077
"rorabaugh_hunting_2019","rorabaugh an","hunting social networks on the salish sea before and after the bow and arrow","journal of archaeological science-reports","10.1016/j.jasrep.2018.11.040",4,2019,0.810616441069943
"perreault_time-averaging_2018","perreault c","time-averaging slows down rates of change in the archaeological record","journal of archaeological method and theory","10.1007/s10816-018-9364-4",4,2018,0.715984899750771
"coto-sarmiento_identifying_2018","coto-sarmiento m;rubio-campillo x;remesal j","identifying social learning between roman amphorae workshops through morphometric similarity","journal of archaeological science","10.1016/j.jas.2018.06.002",4,2018,0.82402078882879
"cochrane_evolution_2018","cochrane ee","the evolution of migration: the case of lapita in the southwest pacific","journal of archaeological method and theory","10.1007/s10816-017-9345-z",4,2018,0.825968127675019
"billiard_stochasticity_2018","billiard s;alvergne a","stochasticity in cultural evolution: a revolution yet to happen","history and philosophy of the life sciences","10.1007/s40656-017-0173-y",4,2018,0.870529346474626
"miller-atkins_time-averaging_2018","miller-atkins g;premo ls","time-averaging and the spatial scale of regional cultural differentiation in archaeological assemblages","science and technology of archaeological research","10.1080/20548923.2018.1504490",4,2018,0.828730623152834
"suchowska-ducke_new_2018","suchowska-ducke p","new technologies and transformations in the european bronze age: the case of naue ii swords","bulgarsko e-spisanie za arkheologiya-bulgarian e-journal of archaeology","NA",4,2018,0.513818746123964
"eerkens_evolution_2017","eerkens jw;de voogt a","the evolution of cubic dice: from the roman through post-medieval period in the netherlands","acta archaeologica","10.1111/j.1600-0390.2017.12182.x",4,2017,0.548919391817628
"bisin_evolution_2017","bisin a","the evolution of value systems: a review essay on ian morris's foragers, farmers, and fossil fuels","journal of economic literature","10.1257/jel.20151352",4,2017,0.733712338645142
"oconnor_fishhook_2017","o'connor jt;white fj;hunt tl","fishhook variability and cultural transmission in east polynesia","archaeology in oceania","10.1002/arco.5120",4,2017,0.802383034854408
"crema_revealing_2016","crema er;kandler a;shennan s","revealing patterns of cultural transmission from frequency data: equilibrium and non-equilibrium assumptions","scientific reports","10.1038/srep39122",4,2016,0.806713194194065
"de_voogt_navigating_2016","de voogt a","navigating disciplinary boundaries: script, games and the role of language","evolutionary biology","10.1007/s11692-015-9316-9",4,2016,0.882645831925241
"damlien_eastern_2016","damlien h","eastern pioneers in westernmost territories? current perspectives on mesolithic hunter-gatherer large-scale interaction and migration within northern eurasia","quaternary international","10.1016/j.quaint.2014.02.023",4,2016,0.767196455764218
"premo_cultural_2016","premo ls;tostevin gb","cultural transmission on the taskscape: exploring the effects of taskscape visibility on cultural diversity","plos one","10.1371/journal.pone.0161766",4,2016,0.907252746403924
"de_voogt_production_2015","de voogt a;eerkens jw;sherman-presser r","production bias in cultural evolution: an examination of cubic dice variation in experimental and archaeological contexts","journal of anthropological archaeology","10.1016/j.jaa.2015.07.003",4,2015,0.801043976323881
"porcic_exploring_2015","porcic m","exploring the effects of assemblage accumulation on diversity and innovation rate estimates in neutral, conformist, and anti-conformist models of cultural transmission","journal of archaeological method and theory","10.1007/s10816-014-9217-8",4,2015,0.948074008632727
"ross_frequency-dependent_2015","ross ct;joyas campino p;winterhalder b","frequency-dependent social transmission and the interethnic transfer of female genital modification in the african diaspora and indigenous populations of colombia","human nature-an interdisciplinary biosocial perspective","10.1007/s12110-015-9234-7",4,2015,0.694777836124082
"wilf_routinized_2015","wilf e","routinized business innovation: an undertheorized engine of cultural evolution","american anthropologist","10.1111/aman.12336",4,2015,0.706247232696774
"rorabaugh_modeling_2015","rorabaugh a","modeling pre-european contact coast salish seasonal social networks and their impacts on unbiased cultural transmission","jasss-the journal of artificial societies and social simulation","10.18564/jasss.2911",4,2015,0.954098945618538
"maccoun_balancing_2015","maccoun rj","balancing evidence and norms in cultural evolution","organizational behavior and human decision processes","10.1016/j.obhdp.2014.09.009",4,2015,0.872691997242786
"munson_metaphors_2015","munson j","from metaphors to practice operationalizing network concepts for archaeological stratigraphy","journal of archaeological method and theory","10.1007/s10816-013-9181-8",4,2015,0.48077312236821
"isaksson_novel_2015","isaksson s;funcke a;envall i;enquist m;lindenfors p","a novel method to analyze social transmission in chronologically sequenced assemblages, implemented on cultural inheritance of the art of cooking","plos one","10.1371/journal.pone.0122092",4,2015,0.584468039765617
"lipo_theoretically-sufficient_2015","lipo cp;madsen me;dunnell rc","a theoretically-sufficient and computationally-practical technique for deterministic frequency seriation","plos one","10.1371/journal.pone.0124942",4,2015,0.764287315463518
"rorabaugh_timing_2015","rorabaugh an;fulkerson tj","timing of the introduction of arrow technologies in the salish sea, northwest north america","lithic technology","10.1179/2051618514y.0000000009",4,2015,0.538798846200308
"crema_approximate_2014","crema er;edinborough k;kerig t;shennan sj","an approximate bayesian computation approach for inferring patterns of cultural evolutionary change","journal of archaeological science","10.1016/j.jas.2014.07.014",4,2014,0.930242604064678
"downey_all_2014","downey g","all forms of writing","mind \& language","10.1111/mila.12052",4,2014,0.612134307673123
"zvelebil_human_2013","zvelebil m;weber aw","human bioarchaeology: group identity and individual life histories - introduction","journal of anthropological archaeology","10.1016/j.jaa.2012.01.003",4,2013,0.883206555904891
"salvatori_disclosing_2012","salvatori s","disclosing archaeological complexity of the khartoum mesolithic: new data at the site and regional level","african archaeological review","10.1007/s10437-012-9119-7",4,2012,0.573128918733622
"unsworth_anthropology_2012","unsworth sj","anthropology in the cognitive sciences: the value of diversity","topics in cognitive science","10.1111/j.1756-8765.2012.01193.x",4,2012,0.801604477751266
"smith_archaeology_2012","smith me;feinman gm;drennan rd;earle t;morris i","archaeology as a social science","proceedings of the national academy of sciences of the united states of america","10.1073/pnas.1201714109",4,2012,0.453854018905974
"scholnick_spatial_2012","scholnick jb","the spatial and temporal diffusion of stylish innovations in material culture","advances in complex systems","10.1142/s0219525911003244",4,2012,0.871328490537739
"shennan_descent_2011","shennan s","descent with modification and the archaeological record","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2010.0380",4,2011,0.978667608922645
"perreault_mobility-driven_2011","perreault c;brantingham pj","mobility-driven cultural transmission along the forager-collector continuum","journal of anthropological archaeology","10.1016/j.jaa.2010.10.003",4,2011,0.967631655948537
"premo_spatial_2011","premo ls;scholnick jb","the spatial scale of social learning affects cultural diversity","american antiquity","10.7183/0002-7316.76.1.163",4,2011,0.812852312378566
"obrien_cultural_2010","o'brien mj;lyman rl;mesoudi a;vanpool tl","cultural traits as units of analysis","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2010.0012",4,2010,0.881297637838551
"brantingham_detecting_2010","brantingham pj;perreault c","detecting the effects of selection and stochastic forces in archaeological assemblages","journal of archaeological science","10.1016/j.jas.2010.07.021",4,2010,0.799719684997278
"lipo_stylistic_2010","lipo cp;hunt tl;hundtoft b","stylistic variability of stemmed obsidian tools (mata'a), frequency seriation, and the scale of social interaction on rapa nui (easter island)","journal of archaeological science","10.1016/j.jas.2010.05.015",4,2010,0.786866198334338
"charlton_explaining_2010","charlton mf;crew p;rehren t;shennan sj","explaining the evolution of ironmaking recipes - an example from northwest wales","journal of anthropological archaeology","10.1016/j.jaa.2010.05.001",4,2010,0.920692188521573
"steele_ceramic_2010","steele j;glatz c;kandler a","ceramic diversity, random copying, and tests for selectivity in ceramic production","journal of archaeological science","10.1016/j.jas.2009.12.039",4,2010,0.886360032342303
"macdonald_evolution_2010","macdonald dh","the evolution of folsom fluting","plains anthropologist","10.1179/pan.2010.011",4,2010,0.737788515352596
"lyman_metric_2009","lyman rl;vanpool tl","metric data in archaeology: a study of intra-analyst and inter-analyst variation","american antiquity","10.1017/s0002731600048721",4,2009,0.563340018606636
"steele_introduction_2009","steele j;shennan s","introduction: demography and cultural macroevolution","human biology","10.3378/027.081.0301",4,2009,0.813971643316524
"hamilton_accumulation_2009","hamilton mj;buchanan b","the accumulation of stochastic copying errors causes drift in culturally transmitted technologies: quantifying clovis evolutionary dynamics","journal of anthropological archaeology","10.1016/j.jaa.2008.10.005",4,2009,0.848236937721732
"lyman_diversity_2009","lyman rl;vanpool tl;o'brien mj","the diversity of north american projectile-point types, before and after the bow and arrow","journal of anthropological archaeology","10.1016/j.jaa.2008.12.002",4,2009,0.773435417699473
"lyman_graphing_2009","lyman rl","graphing evolutionary pattern and process: a history of techniques in archaeology and paleobiology","journal of human evolution","10.1016/j.jhevol.2008.11.001",4,2009,0.715468292841428
"lyman_variation_2008","lyman rl;vanpool tl;o'brien mj","variation in north american dart points and arrow points when one or both are present","journal of archaeological science","10.1016/j.jas.2008.05.008",4,2008,0.826423413082155
"mesoudi_cultural_2008","mesoudi a;o'brien mj","the cultural transmission of great basin projectile-point technology ii: an agent-based computer simulation","american antiquity","10.2307/25470521",4,2008,1
"gabora_cultural_2008","gabora l","the cultural evolution of socially situated cognition","cognitive systems research","10.1016/j.cogsys.2007.05.004",4,2008,0.785471670185534
"ihara_spread_2008","ihara y","spread of costly prestige-seeking behavior by social learning","theoretical population biology","10.1016/j.tpb.2007.10.002",4,2008,0.915250766482808
"marwick_beyond_2008","marwick b","beyond typologies: the reduction thesis and its implications for lithic assemblages in southeast asia","bulletin of the indo-pacific prehistory association, vol 28","NA",4,2008,0.722937039953085
"shennan_evolution_2008","shennan s","evolution in archaeology","annual review of anthropology","10.1146/annurev.anthro.37.081407.085153",4,2008,0.895292682855271
"de_block_mating_2007","de block a;dewitte s","mating games: cultural evolution and sexual selection","biology \& philosophy","10.1007/s10539-006-9041-y",4,2007,0.664562581947394
"eerkens_cultural_2007","eerkens jw;lipo cp","cultural transmission theory and the archaeological record: providing context to understanding variation and temporal changes in material culture","journal of archaeological research","10.1007/s10814-007-9013-z",4,2007,0.889636445860686
"brantingham_unified_2007","brantingham pj","a unified evolutionary model of archaeological style and function based on the price equation","american antiquity","10.2307/40035853",4,2007,0.848656167462945
"lyman_archaeologys_2007","lyman rl","archaeology's quest for a seat at the high table of anthropology","journal of anthropological archaeology","10.1016/j.jaa.2006.11.003",4,2007,0.465465538795676
"lyman_cultural_2006","lyman rl","cultural traits and cultural integration","behavioral and brain sciences","10.1017/s0140525x06349084",4,2006,0.726510695162966
"bentley_academic_2006","bentley ra","academic copying, archaeology and the english language","antiquity","10.1017/s0003598x00093364",4,2006,0.775813993205739
"eerkens_cultural_2005","eerkens jw;lipo cp","cultural transmission, copying errors, and the generation of variation in material culture and the archaeological record","journal of anthropological archaeology","10.1016/j.jaa.2005.08.001",4,2005,0.903210046868297
"chatters_darwinian_2005","chatters jc;prentiss wc","a darwinian macro-evolutionary perspective on the development of hunter-gatherer systems in northwestern north america","world archaeology","10.1080/0043824042000329568",4,2005,0.681441932889667
"obrien_evolutionism_2005","o'brien mj","evolutionism and north america's archaeological record","world archaeology","10.1080/0043824042000329559",4,2005,0.878468282278416
"lyman_history_2004","lyman rl;o'brien mj","a history of normative theory in americanist archaeology","journal of archaeological method and theory","10.1007/s10816-004-1420-6",4,2004,0.7211576471829
"bentley_random_2004","bentley ra;hahn mw;shennan sj","random drift and culture change","proceedings of the royal society b-biological sciences","10.1098/rspb.2004.2746",4,2004,0.899771696550433
"stone_biotechnology_2004","stone gd","biotechnology and the political ecology of information in india","human organization","10.17730/humo.63.2.jgvu7rlfafk9jwf9",4,2004,0.668531132049567
"kohler_vessels_2004","kohler ta;vanbuskirk s;ruscavage-barz s","vessels and villages: evidence for conformist transmission in early village aggregations on the pajarito plateau, new mexico","journal of anthropological archaeology","10.1016/j.jaa.2003.12.003",4,2004,0.812542320084481
"henrich_cultural_2004","henrich j","cultural group selection, coevolutionary processes and large-scale cooperation","journal of economic behavior \& organization","10.1016/s0167-2681(03)00094-5",4,2004,0.741034452383563
"gumerman_evolution_2003","gumerman gj;swedlund ac;dean js;epstein jm","the evolution of social behavior in the prehistoric american southwest","artificial life","10.1162/106454603322694861",4,2003,0.895348314562209
"bentley_cultural_2003","bentley ra;shennan sj","cultural transmission and stochastic network growth","american antiquity","10.2307/3557104",4,2003,0.884684305503601
"obrien_what_2003","o'brien mj;lyman rl;leonard rd","what is evolution? a response to bamforth","american antiquity","10.2307/3557109",4,2003,0.786421027025701
"lyman_cultural_2003","lyman rl;o'brien mj","cultural traits: units of analysis in early twentieth-century anthropology","journal of anthropological research","10.1086/jar.59.2.3631642",4,2003,0.654624532747816
"prentiss_cultural_2003","prentiss wc;chatters jc","cultural diversification and decimation in the prehistoric record","current anthropology","10.1086/344488",4,2003,0.797584193388191
"obrien_two_2002","o'brien mj;lyman rl;saab y;saab e;darwent ds","two issues in archaeological phylogenetics: taxon construction and outgroup selection","journal of theoretical biology","10.1006/jtbi.2002.2548",4,2002,0.680927208786251
"weiss_kulturcrisis_2002","weiss k;hayashida f","kulturcrisis! cultural evolution going round in circles","evolutionary anthropology","10.1002/evan.10029",4,2002,0.657403571260927
"obrien_cladistics_2001","o'brien mj;darwent j;lyman rl","cladistics is useful for reconstructing archaeological phylogenies: palaeoindian points from the southeastern united states","journal of archaeological science","10.1006/jasc.2001.0681",4,2001,0.69219187729465
"shennan_population_2000","shennan s","population, culture history, and the dynamics of culture change","current anthropology","10.1086/317403",4,2000,0.792900335759669
"fracchia_does_1999","fracchia j;lewontin rc","does culture evolve?","history and theory","10.1111/0018-2656.00104",4,1999,0.700738328778441
"lyman_goals_1998","lyman rl;o'brien mj","the goals of evolutionary archaeology","current anthropology","10.1086/204786",4,1998,0.762547508492133
"macdonald_subsistence_1998","macdonald dh","subsistence, sex, and cultural transmission in folsom culture","journal of anthropological archaeology","10.1006/jaar.1998.0325",4,1998,0.492409976729929
"boast_small_1997","boast r","a small company of actors - a critique of style","journal of material culture","10.1177/135918359700200202",4,1997,0.514824629393391
"neiman_stylistic_1995","neiman fd","stylistic variation in evolutionary perspective - inferences from decorative diversity and interassemblage distance in illinois woodland ceramic assemblages","american antiquity","10.2307/282074",4,1995,0.769209607563298
"tschauner_archaeological_1994","tschauner h","archaeological systematics and cultural-evolution - retrieving the honor of culture history","man","10.2307/2803511",4,1994,0.701491634453873
"prentiss_evolution_2015","prentiss am;goodale n;harris n","evolution of the slate tool industry at bridge river, british columbia","lithic technological systems and evolutionary theory","NA",4,2015,0.826345094321859
"stevens_what_2015","stevens ne","what steward got right: technology, work organization, and cultural evolution","lithic technological systems and evolutionary theory","NA",4,2015,0.825347660446058
"bettinger_macroevolutionary_2009","bettinger rl","macroevolutionary theory and archaeology: is there a big picture?","macroevolution in human prehistory: evolutionary theory and processual archaeology","10.1007/978-1-4419-0682-3\_11",4,2009,0.882498661098178
